"DIVISION_NO","DIVISION_NAME","DEPARTMENT_NO","DEPARTMENT_NAME","SECT_NO","SECT_NAME","PLANT_NO","PLANT_NAME","PLANT_TYPE","PROVINCE_NAME"
"90000144",RMC North,"00014803",North 1,"00014864",Prod.เชียงใหม่1,"31UN",แม่ริม-แม่แตง,CPAC,เชียงใหม่
"90000144",RMC North,"00014803",North 1,"00014919",Prod.เชียงใหม่2,"31UO",เชียงใหม่-สันกำแพง,CPAC,เชียงใหม่
"90000144",RMC North,"00014803",North 1,"00014864",Prod.เชียงใหม่1,"31UR",เชียงใหม่-สันปูเลย,CPAC,เชียงใหม่
"90000144",RMC North,"00014803",North 1,"00014919",Prod.เชียงใหม่2,"31UY",ลำพูน-นิคมสหพัฒน์,CPAC,ลำพูน
"90000145",RMC Northeast,"00014222",Northeast 1,"00014252",Prod.โคราช-ชัยภูมิ,"31V1",โคราช-เลี่ยงเมือง,CPAC,นครราชสีมา
"90000145",RMC Northeast,"00014222",Northeast 1,"00014251",Prod.โคราช-หัวทะเล,"31V2",โชคชัย 3,CPAC,นครราชสีมา
"90000145",RMC Northeast,"00014222",Northeast 1,"00014251",Prod.โคราช-หัวทะเล,"31V3",ครบุรี,CPAC,นครราชสีมา
"90000145",RMC Northeast,"00014222",Northeast 1,"00014251",Prod.โคราช-หัวทะเล,"31V5",ด่านเกวียน,CPAC,นครราชสีมา
"90000145",RMC Northeast,"00014222",Northeast 1,"00014225",Prod.โคราช-เขาใหญ่,"31V6",เขาใหญ่-หนองน้ำแดง,CPAC,นครราชสีมา
"90000145",RMC Northeast,"00014243",Northeast 2,"00014282",Prod.ขอนแก่น,"31V7",เมืองเลย,CPAC,เลย
"90000144",RMC North,"00014806",North 3,"00014988",Prod.พิษณุโลก,"31VA",พิษณุโลก,CPAC,พิษณุโลก
"90000144",RMC North,"00014804",North 2,"00014899",Prod.ลำปาง,"31VB",ลำปาง,CPAC,ลำปาง
"90000144",RMC North,"00014806",North 3,"00014988",Prod.พิษณุโลก,"31VE",อุตรดิตถ์,CPAC,อุตรดิตถ์
"90000144",RMC North,"00014806",North 3,"00014988",Prod.พิษณุโลก,"31VM",วัดโบสถ์,CPAC,พิษณุโลก
"90000144",RMC North,"00014806",North 3,"00014988",Prod.พิษณุโลก,"31VP",ศรีสัชนาลัย-ดงคู่,CPAC,สุโขทัย
"90000144",RMC North,"00014806",North 3,"00014988",Prod.พิษณุโลก,"31VQ",สวรรคโลก-บ่อแปดร้อย,CPAC,สุโขทัย
"90000144",RMC North,"00014806",North 3,"00014988",Prod.พิษณุโลก,"31VR",สุโขทัย 3,CPAC,สุโขทัย
"90000144",RMC North,"00014806",North 3,"00014988",Prod.พิษณุโลก,"31VV",พิษณุโลก-ม.นเรศวร,CPAC,พิษณุโลก
